provincia,tramo_edad,genero,personas_beneficiarias,edicion
La Rioja,18 a 29,Femenino,148,previaje 4
La Rioja,30 a 44 años,Femenino,210,previaje 4
La Rioja,45 a 59 años,Femenino,147,previaje 4
La Rioja,60 años y más,Femenino,133,previaje 4
La Rioja,18 a 29,Masculino,91,previaje 4
La Rioja,30 a 44 años,Masculino,142,previaje 4
La Rioja,45 a 59 años,Masculino,111,previaje 4
La Rioja,60 años y más,Masculino,71,previaje 4
Mendoza,18 a 29,Femenino,1509,previaje 4
Mendoza,30 a 44 años,Femenino,2979,previaje 4
Mendoza,45 a 59 años,Femenino,2476,previaje 4
Mendoza,60 años y más,Femenino,4542,previaje 4
Mendoza,18 a 29,Masculino,1030,previaje 4
Mendoza,30 a 44 años,Masculino,2531,previaje 4
Mendoza,45 a 59 años,Masculino,1789,previaje 4
Mendoza,60 años y más,Masculino,2539,previaje 4
Mendoza,30 a 44 años,X,7,previaje 4
Mendoza,60 años y más,X,10,previaje 4
Misiones,18 a 29,Femenino,397,previaje 4
Misiones,30 a 44 años,Femenino,793,previaje 4
Misiones,45 a 59 años,Femenino,519,previaje 4
Misiones,60 años y más,Femenino,612,previaje 4
Misiones,18 a 29,Masculino,273,previaje 4
Misiones,30 a 44 años,Masculino,539,previaje 4
Misiones,45 a 59 años,Masculino,355,previaje 4
Misiones,60 años y más,Masculino,300,previaje 4
Neuquén,18 a 29,Femenino,625,previaje 4
Neuquén,30 a 44 años,Femenino,1440,previaje 4
Neuquén,45 a 59 años,Femenino,953,previaje 4
Neuquén,60 años y más,Femenino,794,previaje 4
Neuquén,18 a 29,Masculino,355,previaje 4
Neuquén,30 a 44 años,Masculino,995,previaje 4
Neuquén,45 a 59 años,Masculino,632,previaje 4
Neuquén,60 años y más,Masculino,470,previaje 4
Río Negro,18 a 29,Femenino,594,previaje 4
Río Negro,30 a 44 años,Femenino,1392,previaje 4
Río Negro,45 a 59 años,Femenino,969,previaje 4
Río Negro,60 años y más,Femenino,1059,previaje 4
Río Negro,18 a 29,Masculino,336,previaje 4
Río Negro,30 a 44 años,Masculino,908,previaje 4
Río Negro,45 a 59 años,Masculino,598,previaje 4
Río Negro,60 años y más,Masculino,556,previaje 4
Río Negro,30 a 44 años,X,3,previaje 4
Río Negro,45 a 59 años,X,4,previaje 4
Salta,18 a 29,Femenino,677,previaje 4
Salta,30 a 44 años,Femenino,1115,previaje 4
Salta,45 a 59 años,Femenino,692,previaje 4
Salta,60 años y más,Femenino,721,previaje 4
Salta,18 a 29,Masculino,406,previaje 4
Salta,30 a 44 años,Masculino,800,previaje 4
Salta,45 a 59 años,Masculino,431,previaje 4
Salta,60 años y más,Masculino,309,previaje 4
San Juan,18 a 29,Femenino,349,previaje 4
San Juan,30 a 44 años,Femenino,736,previaje 4
San Juan,45 a 59 años,Femenino,609,previaje 4
San Juan,60 años y más,Femenino,990,previaje 4
San Juan,18 a 29,Masculino,253,previaje 4
San Juan,30 a 44 años,Masculino,544,previaje 4
San Juan,45 a 59 años,Masculino,431,previaje 4
San Juan,60 años y más,Masculino,518,previaje 4
San Juan,60 años y más,X,3,previaje 4
San Luis,18 a 29,Femenino,215,previaje 4
San Luis,30 a 44 años,Femenino,447,previaje 4
San Luis,45 a 59 años,Femenino,384,previaje 4
San Luis,60 años y más,Femenino,525,previaje 4
San Luis,18 a 29,Masculino,112,previaje 4
San Luis,30 a 44 años,Masculino,286,previaje 4
San Luis,45 a 59 años,Masculino,198,previaje 4
San Luis,60 años y más,Masculino,223,previaje 4
Santa Cruz,18 a 29,Femenino,229,previaje 4
Santa Cruz,30 a 44 años,Femenino,619,previaje 4
Santa Cruz,45 a 59 años,Femenino,276,previaje 4
Santa Cruz,60 años y más,Femenino,163,previaje 4
Santa Cruz,18 a 29,Masculino,138,previaje 4
Santa Cruz,30 a 44 años,Masculino,416,previaje 4
Santa Cruz,45 a 59 años,Masculino,221,previaje 4
Santa Cruz,60 años y más,Masculino,111,previaje 4
Santa Fe,18 a 29,Femenino,3418,previaje 4
Santa Fe,30 a 44 años,Femenino,6903,previaje 4
Santa Fe,45 a 59 años,Femenino,5981,previaje 4
Santa Fe,60 años y más,Femenino,10848,previaje 4
Santa Fe,18 a 29,Masculino,1956,previaje 4
Santa Fe,30 a 44 años,Masculino,5054,previaje 4
Santa Fe,45 a 59 años,Masculino,3469,previaje 4
Santa Fe,60 años y más,Masculino,5699,previaje 4
Santa Fe,18 a 29,X,3,previaje 4
Santa Fe,30 a 44 años,X,6,previaje 4
Santa Fe,45 a 59 años,X,8,previaje 4
Santa Fe,60 años y más,X,12,previaje 4
Santiago del Estero,18 a 29,Femenino,231,previaje 4
Santiago del Estero,30 a 44 años,Femenino,400,previaje 4
Santiago del Estero,45 a 59 años,Femenino,239,previaje 4
Santiago del Estero,60 años y más,Femenino,327,previaje 4
Santiago del Estero,18 a 29,Masculino,126,previaje 4
Santiago del Estero,30 a 44 años,Masculino,323,previaje 4
Santiago del Estero,45 a 59 años,Masculino,158,previaje 4
Santiago del Estero,60 años y más,Masculino,133,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Femenino,269,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Femenino,642,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Femenino,417,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Femenino,240,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Masculino,171,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Masculino,512,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Masculino,314,previaje 4
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Masculino,177,previaje 4
Tucumán,18 a 29,Femenino,1000,previaje 4
Tucumán,30 a 44 años,Femenino,1705,previaje 4
Tucumán,45 a 59 años,Femenino,944,previaje 4
Tucumán,60 años y más,Femenino,1384,previaje 4
Tucumán,18 a 29,Masculino,562,previaje 4
Tucumán,30 a 44 años,Masculino,1379,previaje 4
Tucumán,45 a 59 años,Masculino,769,previaje 4
Tucumán,60 años y más,Masculino,609,previaje 4
Tucumán,18 a 29,X,3,previaje 4
Tucumán,30 a 44 años,X,4,previaje 4
Tucumán,60 años y más,X,3,previaje 4
Buenos Aires,18 a 29,Femenino,11645,previaje 5
Buenos Aires,30 a 44 años,Femenino,20834,previaje 5
Buenos Aires,45 a 59 años,Femenino,17398,previaje 5
Buenos Aires,60 años y más,Femenino,23124,previaje 5
Buenos Aires,18 a 29,Masculino,6709,previaje 5
Buenos Aires,30 a 44 años,Masculino,14412,previaje 5
Buenos Aires,45 a 59 años,Masculino,10906,previaje 5
Buenos Aires,60 años y más,Masculino,12761,previaje 5
Buenos Aires,18 a 29,X,21,previaje 5
Buenos Aires,30 a 44 años,X,40,previaje 5
Buenos Aires,45 a 59 años,X,23,previaje 5
Buenos Aires,60 años y más,X,39,previaje 5
Catamarca,18 a 29,Femenino,105,previaje 5
Catamarca,30 a 44 años,Femenino,223,previaje 5
Catamarca,45 a 59 años,Femenino,97,previaje 5
Catamarca,60 años y más,Femenino,115,previaje 5
Catamarca,18 a 29,Masculino,75,previaje 5
Catamarca,30 a 44 años,Masculino,118,previaje 5
Catamarca,45 a 59 años,Masculino,76,previaje 5
Catamarca,60 años y más,Masculino,52,previaje 5
Chaco,18 a 29,Femenino,288,previaje 5
Chaco,30 a 44 años,Femenino,604,previaje 5
Chaco,45 a 59 años,Femenino,409,previaje 5
Chaco,60 años y más,Femenino,515,previaje 5
Chaco,18 a 29,Masculino,201,previaje 5
Chaco,30 a 44 años,Masculino,383,previaje 5
Chaco,45 a 59 años,Masculino,214,previaje 5
Chaco,60 años y más,Masculino,221,previaje 5
Chubut,18 a 29,Femenino,247,previaje 5
Chubut,30 a 44 años,Femenino,631,previaje 5
Chubut,45 a 59 años,Femenino,507,previaje 5
Chubut,60 años y más,Femenino,479,previaje 5
Chubut,18 a 29,Masculino,156,previaje 5
Chubut,30 a 44 años,Masculino,416,previaje 5
Chubut,45 a 59 años,Masculino,326,previaje 5
Chubut,60 años y más,Masculino,240,previaje 5
Ciudad Autónoma de Buenos Aires,18 a 29,Femenino,5288,previaje 5
Ciudad Autónoma de Buenos Aires,30 a 44 años,Femenino,10607,previaje 5
Ciudad Autónoma de Buenos Aires,45 a 59 años,Femenino,7049,previaje 5
Ciudad Autónoma de Buenos Aires,60 años y más,Femenino,8009,previaje 5
Ciudad Autónoma de Buenos Aires,18 a 29,Masculino,3434,previaje 5
Ciudad Autónoma de Buenos Aires,30 a 44 años,Masculino,7779,previaje 5
Ciudad Autónoma de Buenos Aires,45 a 59 años,Masculino,4828,previaje 5
Ciudad Autónoma de Buenos Aires,60 años y más,Masculino,5177,previaje 5
Ciudad Autónoma de Buenos Aires,18 a 29,X,7,previaje 5
Ciudad Autónoma de Buenos Aires,30 a 44 años,X,23,previaje 5
Ciudad Autónoma de Buenos Aires,45 a 59 años,X,16,previaje 5
Ciudad Autónoma de Buenos Aires,60 años y más,X,14,previaje 5
Corrientes,18 a 29,Femenino,271,previaje 5
Corrientes,30 a 44 años,Femenino,457,previaje 5
Corrientes,45 a 59 años,Femenino,316,previaje 5
Corrientes,60 años y más,Femenino,387,previaje 5
Corrientes,18 a 29,Masculino,153,previaje 5
Corrientes,30 a 44 años,Masculino,352,previaje 5
Corrientes,45 a 59 años,Masculino,197,previaje 5
Corrientes,60 años y más,Masculino,163,previaje 5
Córdoba,18 a 29,Femenino,3385,previaje 5
Córdoba,30 a 44 años,Femenino,5929,previaje 5
Córdoba,45 a 59 años,Femenino,4577,previaje 5
Córdoba,60 años y más,Femenino,7113,previaje 5
Córdoba,18 a 29,Masculino,2147,previaje 5
Córdoba,30 a 44 años,Masculino,4355,previaje 5
Córdoba,45 a 59 años,Masculino,2957,previaje 5
Córdoba,60 años y más,Masculino,3802,previaje 5
Córdoba,18 a 29,X,5,previaje 5
Córdoba,30 a 44 años,X,10,previaje 5
Córdoba,45 a 59 años,X,8,previaje 5
Córdoba,60 años y más,X,4,previaje 5
Entre Ríos,18 a 29,Femenino,670,previaje 5
Entre Ríos,30 a 44 años,Femenino,1288,previaje 5
Entre Ríos,45 a 59 años,Femenino,1170,previaje 5
Entre Ríos,60 años y más,Femenino,1533,previaje 5
Entre Ríos,18 a 29,Masculino,367,previaje 5
Entre Ríos,30 a 44 años,Masculino,807,previaje 5
Entre Ríos,45 a 59 años,Masculino,621,previaje 5
Entre Ríos,60 años y más,Masculino,763,previaje 5
Formosa,18 a 29,Femenino,60,previaje 5
Formosa,30 a 44 años,Femenino,110,previaje 5
Formosa,45 a 59 años,Femenino,82,previaje 5
Formosa,60 años y más,Femenino,125,previaje 5
Formosa,18 a 29,Masculino,39,previaje 5
Formosa,30 a 44 años,Masculino,97,previaje 5
Formosa,45 a 59 años,Masculino,49,previaje 5
Formosa,60 años y más,Masculino,43,previaje 5
Jujuy,18 a 29,Femenino,158,previaje 5
Jujuy,30 a 44 años,Femenino,333,previaje 5
Jujuy,45 a 59 años,Femenino,193,previaje 5
Jujuy,60 años y más,Femenino,249,previaje 5
Jujuy,18 a 29,Masculino,103,previaje 5
Jujuy,30 a 44 años,Masculino,238,previaje 5
Jujuy,45 a 59 años,Masculino,124,previaje 5
Jujuy,60 años y más,Masculino,100,previaje 5
La Pampa,18 a 29,Femenino,131,previaje 5
La Pampa,30 a 44 años,Femenino,329,previaje 5
La Pampa,45 a 59 años,Femenino,275,previaje 5
La Pampa,60 años y más,Femenino,473,previaje 5
La Pampa,18 a 29,Masculino,92,previaje 5
La Pampa,30 a 44 años,Masculino,217,previaje 5
La Pampa,45 a 59 años,Masculino,153,previaje 5
La Pampa,60 años y más,Masculino,253,previaje 5
La Rioja,18 a 29,Femenino,118,previaje 5
La Rioja,30 a 44 años,Femenino,151,previaje 5
La Rioja,45 a 59 años,Femenino,132,previaje 5
La Rioja,60 años y más,Femenino,86,previaje 5
La Rioja,18 a 29,Masculino,75,previaje 5
La Rioja,30 a 44 años,Masculino,103,previaje 5
La Rioja,45 a 59 años,Masculino,68,previaje 5
La Rioja,60 años y más,Masculino,40,previaje 5
Mendoza,18 a 29,Femenino,1049,previaje 5
Mendoza,30 a 44 años,Femenino,2169,previaje 5
Mendoza,45 a 59 años,Femenino,1908,previaje 5
Mendoza,60 años y más,Femenino,2681,previaje 5
Mendoza,18 a 29,Masculino,775,previaje 5
Mendoza,30 a 44 años,Masculino,1793,previaje 5
Mendoza,45 a 59 años,Masculino,1274,previaje 5
Mendoza,60 años y más,Masculino,1527,previaje 5
Mendoza,60 años y más,X,7,previaje 5
Misiones,18 a 29,Femenino,256,previaje 5
Misiones,30 a 44 años,Femenino,517,previaje 5
Misiones,45 a 59 años,Femenino,314,previaje 5
Misiones,60 años y más,Femenino,385,previaje 5
Misiones,18 a 29,Masculino,145,previaje 5
Misiones,30 a 44 años,Masculino,345,previaje 5
Misiones,45 a 59 años,Masculino,221,previaje 5
Misiones,60 años y más,Masculino,166,previaje 5
Neuquén,18 a 29,Femenino,450,previaje 5
Neuquén,30 a 44 años,Femenino,969,previaje 5
Neuquén,45 a 59 años,Femenino,650,previaje 5
Neuquén,60 años y más,Femenino,523,previaje 5
Neuquén,18 a 29,Masculino,232,previaje 5
Neuquén,30 a 44 años,Masculino,710,previaje 5
Neuquén,45 a 59 años,Masculino,402,previaje 5
Neuquén,60 años y más,Masculino,320,previaje 5
Río Negro,18 a 29,Femenino,439,previaje 5
Río Negro,30 a 44 años,Femenino,1007,previaje 5
Río Negro,45 a 59 años,Femenino,692,previaje 5
Río Negro,60 años y más,Femenino,742,previaje 5
Río Negro,18 a 29,Masculino,241,previaje 5
Río Negro,30 a 44 años,Masculino,670,previaje 5
Río Negro,45 a 59 años,Masculino,399,previaje 5
Río Negro,60 años y más,Masculino,396,previaje 5
Río Negro,18 a 29,X,3,previaje 5
Salta,18 a 29,Femenino,453,previaje 5
Salta,30 a 44 años,Femenino,785,previaje 5
Salta,45 a 59 años,Femenino,468,previaje 5
Salta,60 años y más,Femenino,487,previaje 5
Salta,18 a 29,Masculino,295,previaje 5
Salta,30 a 44 años,Masculino,600,previaje 5
Salta,45 a 59 años,Masculino,281,previaje 5
Salta,60 años y más,Masculino,192,previaje 5
San Juan,18 a 29,Femenino,334,previaje 5
San Juan,30 a 44 años,Femenino,575,previaje 5
San Juan,45 a 59 años,Femenino,472,previaje 5
San Juan,60 años y más,Femenino,676,previaje 5
San Juan,18 a 29,Masculino,252,previaje 5
San Juan,30 a 44 años,Masculino,431,previaje 5
San Juan,45 a 59 años,Masculino,372,previaje 5
San Juan,60 años y más,Masculino,342,previaje 5
San Luis,18 a 29,Femenino,198,previaje 5
San Luis,30 a 44 años,Femenino,384,previaje 5
San Luis,45 a 59 años,Femenino,330,previaje 5
San Luis,60 años y más,Femenino,389,previaje 5
San Luis,18 a 29,Masculino,110,previaje 5
San Luis,30 a 44 años,Masculino,256,previaje 5
San Luis,45 a 59 años,Masculino,175,previaje 5
San Luis,60 años y más,Masculino,190,previaje 5
Santa Cruz,18 a 29,Femenino,137,previaje 5
Santa Cruz,30 a 44 años,Femenino,335,previaje 5
Santa Cruz,45 a 59 años,Femenino,195,previaje 5
Santa Cruz,60 años y más,Femenino,98,previaje 5
Santa Cruz,18 a 29,Masculino,89,previaje 5
Santa Cruz,30 a 44 años,Masculino,218,previaje 5
Santa Cruz,45 a 59 años,Masculino,128,previaje 5
Santa Cruz,60 años y más,Masculino,66,previaje 5
Santa Fe,18 a 29,Femenino,2853,previaje 5
Santa Fe,30 a 44 años,Femenino,5178,previaje 5
Santa Fe,45 a 59 años,Femenino,4711,previaje 5
Santa Fe,60 años y más,Femenino,7970,previaje 5
Santa Fe,18 a 29,Masculino,1762,previaje 5
Santa Fe,30 a 44 años,Masculino,3591,previaje 5
Santa Fe,45 a 59 años,Masculino,2618,previaje 5
Santa Fe,60 años y más,Masculino,4176,previaje 5
Santa Fe,30 a 44 años,X,3,previaje 5
Santa Fe,45 a 59 años,X,3,previaje 5
Santa Fe,60 años y más,X,7,previaje 5
Santiago del Estero,18 a 29,Femenino,230,previaje 5
Santiago del Estero,30 a 44 años,Femenino,316,previaje 5
Santiago del Estero,45 a 59 años,Femenino,203,previaje 5
Santiago del Estero,60 años y más,Femenino,209,previaje 5
Santiago del Estero,18 a 29,Masculino,149,previaje 5
Santiago del Estero,30 a 44 años,Masculino,241,previaje 5
Santiago del Estero,45 a 59 años,Masculino,127,previaje 5
Santiago del Estero,60 años y más,Masculino,85,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Femenino,165,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Femenino,390,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Femenino,268,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Femenino,118,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Masculino,113,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Masculino,295,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Masculino,178,previaje 5
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Masculino,110,previaje 5
Tucumán,18 a 29,Femenino,651,previaje 5
Tucumán,30 a 44 años,Femenino,1218,previaje 5
Tucumán,45 a 59 años,Femenino,675,previaje 5
Tucumán,60 años y más,Femenino,953,previaje 5
Tucumán,18 a 29,Masculino,402,previaje 5
Tucumán,30 a 44 años,Masculino,949,previaje 5
Tucumán,45 a 59 años,Masculino,532,previaje 5
Tucumán,60 años y más,Masculino,404,previaje 5
